Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
16,dom,2018-07-29,11:00,Vasco da Gama,1–4,Corinthians,33.516,Estádio Club de Regatas Vasco da Gama
16,dom,2018-07-29,16:00,Cruzeiro,0–2,São Paulo,26.671,Estádio Governador Magalhães Pinto
16,dom,2018-07-29,16:00,Ath Paranaense,4–0,Vitória,8.697,Estádio Joaquim Américo Guimarães
16,dom,2018-07-29,16:00,Flamengo,4–1,Sport Recife,58.817,Estádio Luso-Brasileiro
16,dom,2018-07-29,16:00,Internacional,3–0,Botafogo (RJ),26.608,Estádio José Pinheiro Borba
16,dom,2018-07-29,19:00,Santos,0–1,América (MG),8.691,Estádio Urbano Caldeira
16,dom,2018-07-29,19:00,Chapecoense,1–1,Grêmio,14.382,Arena Condá
16,seg,2018-07-30,20:00,Bahia,2–2,Atlético Mineiro,15.993,Itaipava Arena Fonte Nova
,,,,,,,,
17,sáb,2018-08-04,16:00,Botafogo (RJ),0–0,Santos,6.940,Estádio Nilton Santos
17,sáb,2018-08-04,19:00,Grêmio,2–0,Flamengo,14.649,Arena do Grêmio
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
17,dom,2018-08-05,16:00,São Paulo,2–1,Vasco da Gama,53.437,Estádio do Morumbi
17,dom,2018-08-05,16:00,Paraná,0–1,Ceará,8.639,Estádio Durival de Brito e Silva
17,dom,2018-08-05,16:00,Vitória,1–1,Cruzeiro,7.193,Estádio Manoel Barradas
17,dom,2018-08-05,16:00,América (MG),0–0,Palmeiras,8.077,Estádio Raimundo Sampaio
17,dom,2018-08-05,19:00,Sport Recife,1–1,Chapecoense,6.787,Estádio Adelmar da Costa Carvalho
17,dom,2018-08-05,19:00,Fluminense,1–1,Bahia,16.548,Estadio Jornalista Mário Filho
17,sáb,2018-08-04,21:00,Corinthians,0–0,Ath Paranaense,28.455,Arena Corinthians
17,seg,2018-08-06,20:00,Atlético Mineiro,0–1,Internacional,22.035,Estádio Raimundo Sampaio
,,,,,,,,
20,qua,2018-08-08,19:30,Ceará,1–1,Santos,18.047,Estádio Castelão
,,,,,,,,
18,sáb,2018-08-11,16:00,Ceará,0–0,Ath Paranaense,14.772,Estádio Castelão
18,sáb,2018-08-11,19:00,Bahia,1–0,América (MG),19.100,Itaipava Arena Fonte Nova
18,dom,2018-08-12,11:00,Atlético Mineiro,3–1,Santos,22.062,Estádio Raimundo Sampaio
18,dom,2018-08-12,11:00,Paraná,1–1,Botafogo (RJ),4.831,Estádio Durival de Brito e Silva
18,dom,2018-08-12,16:00,Sport Recife,1–3,São Paulo,16.050,Estádio Adelmar da Costa Carvalho
18,dom,2018-08-12,16:00,Flamengo,1–0,Cruzeiro,55.273,Estádio Luso-Brasileiro
18,dom,2018-08-12,16:00,Chapecoense,2–1,Corinthians,10.070,Arena Condá
18,dom,2018-08-12,19:00,Grêmio,4–0,Vitória,16.146,Arena do Grêmio
18,dom,2018-08-12,19:00,Palmeiras,1–0,Vasco da Gama,30.012,Allianz Parque
18,seg,2018-08-13,20:00,Fluminense,0–3,Internacional,14.640,Estadio Jornalista Mário Filho
,,,,,,,,
19,sáb,2018-08-18,16:00,Santos,3–0,Sport Recife,17.047,Estádio Urbano Caldeira
19,sáb,2018-08-18,19:00,Corinthians,0–1,Grêmio,32.583,Arena Corinthians
19,dom,2018-08-19,11:00,Ath Paranaense,3–0,Flamengo,20.146,Estádio Joaquim Américo Guimarães
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
19,dom,2018-08-19,11:00,Internacional,1–0,Paraná,40.894,Estádio José Pinheiro Borba
19,dom,2018-08-19,16:00,Cruzeiro,1–1,Bahia,28.807,Estádio Governador Magalhães Pinto
19,dom,2018-08-19,16:00,Vitória,0–3,Palmeiras,8.822,Estádio Manoel Barradas
19,dom,2018-08-19,16:00,Botafogo (RJ),0–3,Atlético Mineiro,8.470,Estádio Nilton Santos
19,dom,2018-08-19,19:00,América (MG),0–0,Fluminense,4.851,Estádio Raimundo Sampaio
19,dom,2018-08-19,19:00,São Paulo,2–0,Chapecoense,41.075,Estádio do Morumbi
19,seg,2018-08-20,20:00,Vasco da Gama,1–1,Ceará,15.539,Estádio Club de Regatas Vasco da Gama
,,,,,,,,
20,qua,2018-08-22,19:30,Bahia,0–1,Internacional,18.671,Itaipava Arena Fonte Nova
20,qua,2018-08-22,19:30,Paraná,1–1,São Paulo,7.635,Estádio Durival de Brito e Silva
20,qui,2018-08-23,19:30,Flamengo,1–0,Vitória,51.878,Estádio Luso-Brasileiro
20,qui,2018-08-23,20:00,Atlético Mineiro,0–0,Vasco da Gama,22.452,Estádio Raimundo Sampaio
20,qua,2018-08-22,21:00,Palmeiras,2–0,Botafogo (RJ),24.882,Allianz Parque
20,qua,2018-08-22,21:00,Sport Recife,0–2,América (MG),16.425,Estádio Adelmar da Costa Carvalho
20,qua,2018-08-22,21:45,Fluminense,1–0,Corinthians,8.444,Estadio Jornalista Mário Filho
20,qua,2018-08-22,21:45,Grêmio,1–1,Cruzeiro,12.773,Arena do Grêmio
,,,,,,,,
21,sáb,2018-08-25,16:00,Santos,2–0,Bahia,11.564,Estádio Urbano Caldeira
21,sáb,2018-08-25,19:00,Corinthians,1–0,Paraná,28.136,Arena Corinthians
21,sáb,2018-08-25,19:00,Ath Paranaense,2–1,Grêmio,12.188,Estádio Joaquim Américo Guimarães
21,dom,2018-08-26,11:00,São Paulo,1–0,Ceará,57.323,Estádio do Morumbi
21,dom,2018-08-26,16:00,Vitória,1–0,Atlético Mineiro,5.954,Estádio Manoel Barradas
21,dom,2018-08-26,16:00,Internacional,0–0,Palmeiras,40.125,Estádio José Pinheiro Borba
21,dom,2018-08-26,16:00,América (MG),2–2,Flamengo,12.887,Estádio Raimundo Sampaio
21,dom,2018-08-26,19:00,Vasco da Gama,3–1,Chapecoense,8.782,Estádio Club de Regatas Vasco da Gama
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
21,sáb,2018-08-25,21:00,Cruzeiro,2–1,Fluminense,14.449,Estádio Governador Magalhães Pinto
21,sáb,2018-08-25,21:00,Botafogo (RJ),2–0,Sport Recife,6.031,Estádio Nilton Santos
,,,,,,,,
15,qua,2018-08-29,19:30,Ceará,0–2,Bahia,11.395,Estádio Presidente Vargas
15,qua,2018-08-29,19:30,Ath Paranaense,1–0,Vasco da Gama,11.119,Estádio Joaquim Américo Guimarães
,,,,,,,,
22,sáb,2018-09-01,16:00,Grêmio,4–0,Botafogo (RJ),14.852,Arena do Grêmio
22,sáb,2018-09-01,16:00,Vitória,1–0,América (MG),11.799,Estádio Manoel Barradas
22,sáb,2018-09-01,19:00,Vasco da Gama,0–3,Santos,33.646,Estádio Club de Regatas Vasco da Gama
22,dom,2018-09-02,11:00,Flamengo,0–1,Ceará,61.277,Estádio Luso-Brasileiro
22,dom,2018-09-02,16:00,Ath Paranaense,2–0,Bahia,13.433,Estádio Joaquim Américo Guimarães
22,dom,2018-09-02,16:00,São Paulo,1–1,Fluminense,49.348,Estádio do Morumbi
22,dom,2018-09-02,16:00,Sport Recife,1–0,Paraná,13.966,Estádio Adelmar da Costa Carvalho
22,dom,2018-09-02,19:00,Chapecoense,1–2,Palmeiras,4.546,Arena Condá
22,dom,2018-09-02,19:00,Cruzeiro,0–0,Internacional,16.247,Estádio Governador Magalhães Pinto
22,sáb,2018-09-01,21:00,Corinthians,1–1,Atlético Mineiro,29.371,Arena Corinthians
,,,,,,,,
23,qua,2018-09-05,19:30,Bahia,2–0,Sport Recife,13.816,Itaipava Arena Fonte Nova
23,qua,2018-09-05,19:30,Botafogo (RJ),1–1,Cruzeiro,5.779,Estádio Nilton Santos
23,qua,2018-09-05,20:00,Ceará,2–1,Corinthians,39.785,Estádio Castelão
23,qui,2018-09-06,19:00,Fluminense,0–0,Vitória,8.952,Estadio Jornalista Mário Filho
23,qui,2018-09-06,19:00,Santos,0–0,Grêmio,16.083,Estádio Urbano Caldeira
23,qui,2018-09-06,20:00,América (MG),2–1,Vasco da Gama,5.061,Estádio Raimundo Sampaio
23,qua,2018-09-05,21:00,Paraná,1–1,Chapecoense,2.239,Estádio Durival de Brito e Silva
23,qua,2018-09-05,21:00,Palmeiras,2–0,Ath Paranaense,24.601,Allianz Parque
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
23,qua,2018-09-05,21:45,Atlético Mineiro,1–0,São Paulo,20.852,Estádio Raimundo Sampaio
23,qua,2018-09-05,21:45,Internacional,2–1,Flamengo,31.487,Estádio José Pinheiro Borba
,,,,,,,,
24,sáb,2018-09-08,16:00,Sport Recife,0–0,Cruzeiro,9.525,Estádio Adelmar da Costa Carvalho
24,sáb,2018-09-08,19:00,São Paulo,1–0,Bahia,43.555,Estádio do Morumbi
24,dom,2018-09-09,16:00,Palmeiras,1–0,Corinthians,38.568,Allianz Parque
24,dom,2018-09-09,16:00,Fluminense,1–0,Botafogo (RJ),10.699,Estadio Jornalista Mário Filho
24,dom,2018-09-09,16:00,América (MG),0–0,Ceará,4.348,Estádio Raimundo Sampaio
24,dom,2018-09-09,16:00,Internacional,1–0,Grêmio,41.742,Estádio José Pinheiro Borba
24,dom,2018-09-09,19:00,Vitória,1–0,Vasco da Gama,10.092,Estádio Manoel Barradas
24,dom,2018-09-09,19:00,Paraná,0–2,Santos,4.504,Estádio Durival de Brito e Silva
24,sáb,2018-09-08,21:00,Flamengo,2–0,Chapecoense,30.647,Estádio Luso-Brasileiro
24,seg,2018-09-10,20:00,Atlético Mineiro,3–1,Ath Paranaense,20.922,Estádio Raimundo Sampaio
,,,,,,,,
20,qui,2018-09-13,20:00,Chapecoense,2–1,Ath Paranaense,4.146,Arena Condá
,,,,,,,,
25,sáb,2018-09-15,16:00,Grêmio,2–0,Paraná,19.278,Arena do Grêmio
25,sáb,2018-09-15,16:00,Ceará,2–0,Vitória,32.136,Estádio Castelão
25,sáb,2018-09-15,19:00,Vasco da Gama,1–1,Flamengo,54.288,Estádio Club de Regatas Vasco da Gama
25,dom,2018-09-16,11:00,Botafogo (RJ),1–0,América (MG),25.382,Estádio Nilton Santos
25,dom,2018-09-16,16:00,Bahia,1–1,Palmeiras,24.495,Itaipava Arena Fonte Nova
25,dom,2018-09-16,16:00,Santos,0–0,São Paulo,13.488,Estádio Urbano Caldeira
25,dom,2018-09-16,16:00,Cruzeiro,0–0,Atlético Mineiro,24.999,Estádio Governador Magalhães Pinto
25,dom,2018-09-16,16:00,Ath Paranaense,3–1,Fluminense,9.872,Estádio Joaquim Américo Guimarães
25,dom,2018-09-16,19:00,Corinthians,2–1,Sport Recife,20.901,Arena Corinthians
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
25,seg,2018-09-17,20:00,Chapecoense,2–1,Internacional,16.981,Arena Condá
,,,,,,,,
26,sáb,2018-09-22,16:00,São Paulo,1–1,América (MG),47.846,Estádio do Morumbi
26,dom,2018-09-23,11:00,Grêmio,3–2,Ceará,36.789,Arena do Grêmio
26,dom,2018-09-23,16:00,Flamengo,2–1,Atlético Mineiro,39.462,Estádio Luso-Brasileiro
26,dom,2018-09-23,16:00,Ath Paranaense,3–0,Paraná,12.956,Estádio Joaquim Américo Guimarães
26,dom,2018-09-23,16:00,Corinthians,1–1,Internacional,26.916,Arena Corinthians
26,dom,2018-09-23,18:00,Sport Recife,0–1,Palmeiras,18.681,Estádio Adelmar da Costa Carvalho
26,dom,2018-09-23,18:00,Vitória,3–4,Botafogo (RJ),9.481,Estádio Manoel Barradas
26,dom,2018-09-23,19:00,Cruzeiro,2–1,Santos,9.029,Estádio Governador Magalhães Pinto
26,seg,2018-09-24,20:00,Vasco da Gama,2–1,Bahia,13.293,Estádio Club de Regatas Vasco da Gama
26,seg,2018-09-24,20:00,Chapecoense,1–2,Fluminense,5.170,Arena Condá
,,,,,,,,
